"high_income","male","married","higher_edu","managerial_occ","high_hours","gov_jobs","race","age","native_country"
0,1,1,13,1,40,5,4,39,39
0,1,6,13,4,13,3,4,50,39
0,1,2,9,6,40,8,4,38,39
0,1,6,7,6,40,8,3,53,39
0,0,6,13,10,40,8,3,28,5
0,0,6,14,4,40,8,4,37,39
0,0,5,5,8,16,8,3,49,23
1,1,6,9,4,45,3,4,52,39
1,0,1,14,10,50,8,4,31,39
1,1,6,13,4,40,8,4,42,39
1,1,6,10,4,80,8,3,37,39
1,1,6,13,10,40,5,2,30,19
0,0,1,13,1,30,8,4,23,39
0,1,1,12,12,50,8,3,32,39
0,1,6,4,14,45,8,1,34,26
0,1,1,9,5,35,3,4,25,39
0,1,1,9,7,40,8,4,32,39
0,1,6,7,12,50,8,4,38,39
1,0,2,14,4,45,3,4,43,39
1,1,6,16,10,60,8,4,40,39
0,0,4,9,8,20,8,3,54,39
0,1,6,5,5,40,7,3,35,39
0,1,6,7,14,40,8,4,43,39
0,0,2,9,13,40,8,4,59,39
1,1,6,13,13,40,4,4,56,39
0,1,1,9,3,40,8,4,19,39
0,1,2,9,4,80,8,4,39,39
0,1,6,9,3,40,8,4,49,39
0,1,1,12,11,52,4,4,23,39
0,1,1,10,12,44,8,3,20,39
0,1,2,13,4,40,8,4,45,39
0,1,6,10,1,40,7,4,30,39
0,1,6,10,8,15,5,3,22,39
0,1,1,7,7,40,8,4,48,33
0,1,1,10,7,40,8,4,21,39
0,0,7,9,1,25,8,4,19,39
0,1,6,12,10,40,3,4,48,39
0,1,6,5,7,43,8,4,31,39
0,1,6,13,10,40,3,4,53,39
0,1,6,13,13,50,8,4,24,39
0,0,4,9,1,40,8,4,49,39
0,1,1,9,6,35,8,4,25,39
1,1,6,13,10,40,7,3,57,39
0,1,6,9,7,38,8,4,53,39
0,0,2,14,4,40,8,4,44,39
0,1,6,11,3,40,5,4,41,39
0,1,1,11,10,43,8,4,29,39
1,0,6,15,10,60,8,4,47,16
1,1,2,13,4,55,7,4,50,39
0,1,2,9,4,60,6,4,47,39
1,1,6,10,13,40,8,4,43,39
0,1,6,3,7,40,8,4,46,26
0,1,6,11,8,40,8,4,35,33
0,1,6,9,1,48,8,4,41,39
0,1,6,9,7,40,8,4,30,39
0,1,6,13,12,40,8,4,30,39
0,1,6,9,14,40,8,4,48,39
1,1,6,16,10,45,8,4,42,39
0,1,2,10,13,58,8,4,29,39
0,1,6,9,3,40,8,4,36,39
0,0,2,10,1,40,8,4,28,39
